P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0605889	1.35638	0.0874888	0.210158	270.369	233.449	206.776
APHP	APLP	GL	0.209313	3.10827	0.000940934	0.0999629	501.781	209.013	136.659
APLP	APHP	MADHP	0.181596	3.17169	0.000757785	0.0859574	528.924	244.246	169.171
APLP	APHP	MADLP	0.185622	3.3169	0.000455115	0.0910051	538.693	243.554	167.292
APLP	APHP	OH	0.22019	3.70875	0.000104142	0.178601	524.369	253.433	161.966
APLP	APHP	OL	0.231025	3.89696	4.87047e-05	0.153442	515.309	262.301	163.849
APLP	APHP	TACHP	0.107472	2.77968	0.00272065	0.140237	409.764	214.832	173.136
APLP	APHP	TACLP	0.280815	4.69331	1.34407e-06	0.171269	384.776	286.913	161.103
GL	GH	APHP	0.550015	8.02986	4.87945e-16	0.881318	321.232	424.874	123.345
APHP	GH	MADHP	0.0776325	1.74637	0.0403735	0.0435032	427.311	240.94	206.225
APHP	GH	MADLP	0.0681383	1.5487	0.0607272	0.0397869	438.705	237.453	207.158
APHP	GH	OH	0.045707	0.959605	0.168627	0.0496282	425.14	238.66	217.797
APHP	GH	OL	0.0240662	0.508004	0.305725	0.0206689	417.322	239.147	227.906
APHP	GH	TACHP	0.00475713	0.111234	0.455715	0.00808748	348.832	219.571	217.492
GH	APHP	TACLP	0.097945	1.44932	0.0736238	0.0747743	309.811	275.541	226.38
APHP	GL	MADHP	0.00927936	0.0674711	0.473103	0.00719485	226.046	312.231	306.489
APHP	GL	MADLP	0.0179844	0.132599	0.447255	0.0144906	231.255	312.271	301.237
GL	APHP	OH	0.0137504	0.100755	0.459872	0.0202995	225.787	319.972	311.292
GL	APHP	OL	0.0466839	0.349826	0.363235	0.0518897	221.077	333.19	303.468
GL	APHP	TACHP	0.174406	2.19543	0.0140665	0.29664	197.829	368.017	258.712
GL	APHP	TACLP	0.482165	4.78843	8.40452e-07	0.354346	247.035	514.293	179.683
MADLP	MADHP	APHP	0.0899462	2.43923	0.00735922	0.0381468	815.508	63.3838	52.9225
MADHP	OH	APHP	0.0523488	0.887969	0.187279	0.0522222	585.136	138.127	124.385
MADHP	OL	APHP	0.132	1.90252	0.0285513	0.12035	647.325	135.796	104.126
TACHP	APHP	MADHP	0.113106	1.64272	0.0502202	0.0666602	370.225	280.48	223.479
APHP	TACLP	MADHP	0.0946702	0.767902	0.221273	0.0570515	404.496	263.207	217.681
MADLP	OH	APHP	0.0899002	1.6793	0.0465467	0.0882572	587.438	146.715	122.512
MADLP	OL	APHP	0.175459	2.72876	0.00317867	0.15363	660.544	141.125	98.9939
TACHP	APHP	MADLP	0.102259	1.50925	0.0656176	0.062896	376.018	275.812	224.636
APHP	TACLP	MADLP	0.108131	0.892714	0.186005	0.0678885	410.458	264.874	213.182
OH	OL	APHP	0.0677678	2.99257	0.00138318	0.0720198	576.186	141.236	123.308
TACHP	APHP	OH	0.0585726	0.942452	0.172981	0.0664657	345.957	269.954	240.08
APHP	TACLP	OH	0.210558	1.75789	0.0393827	0.243415	364.904	294.161	191.831
TACHP	APHP	OL	0.0727169	1.18962	0.117098	0.0650409	337.437	279.362	241.487
APHP	TACLP	OL	0.211246	1.7263	0.042147	0.193516	351.616	301.709	196.47
TACHP	TACLP	APHP	0.317527	5.19195	1.04049e-07	0.549161	439.901	201.388	104.318
GL	GH	APLP	0.473515	3.90968	4.6209e-05	0.631594	267.767	398.081	142.234
APLP	GH	MADHP	0.263573	3.75677	8.60619e-05	0.125704	476.21	263.166	153.377
APLP	GH	MADLP	0.257097	3.74211	9.12418e-05	0.127157	488.434	260.509	153.953
APLP	GH	OH	0.264721	3.79144	7.4888e-05	0.219339	481.484	268.332	156.002
APLP	GH	OL	0.253071	3.56497	0.000181946	0.170961	476.415	271.567	161.876
APLP	GH	TACHP	0.110032	2.32094	0.010145	0.147359	376.739	220.806	177.031
APLP	GH	TACLP	0.16913	2.10924	0.0174621	0.104435	375.025	264.922	188.273
APLP	GL	MADHP	0.150564	1.17616	0.119765	0.092531	294.956	308.786	227.97
APLP	GL	MADLP	0.164484	1.31498	0.0942579	0.104172	300.347	309.009	221.713
APLP	GL	OH	0.154345	1.26178	0.103514	0.161652	296.43	309.581	226.795
