P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.103869	2.58192	0.00491266	0.107918	337.078	225.76	183.274
APHP	APLP	GL	0.128355	3.05054	0.00114216	0.0812239	338.454	231.789	179.055
APLP	APHP	MADHP	0.0434635	2.23065	0.012852	0.0187306	551.639	177.167	162.408
APLP	APHP	MADLP	0.0525303	2.48893	0.0064065	0.0237503	546.124	179.189	161.303
APLP	APHP	OH	0.0437799	2.40588	0.00806673	0.0658751	530.898	175.234	160.534
APLP	APHP	OL	0.0448325	2.33374	0.00980455	0.0367175	545.536	176.11	160.996
APHP	APLP	TACHP	0.0594695	2.15596	0.0155436	0.0402478	403.159	204.546	181.583
APHP	APLP	TACLP	0.0535504	1.90575	0.0283415	0.0274488	423.121	202.085	181.541
GL	GH	APHP	0.0284403	0.540632	0.294381	0.0361711	531.028	101.155	95.5603
GH	APHP	MADHP	0.0103298	0.283482	0.388404	0.00594191	446.732	226.064	221.441
GH	APHP	MADLP	0.000128867	0.00353877	0.498588	7.86885e-05	437.44	224.309	224.251
GH	APHP	OH	0.00699556	0.226917	0.410244	0.0146252	424.045	222.185	219.098
GH	APHP	OL	0.0135933	0.375775	0.353542	0.0149775	439.743	224.121	218.109
TACHP	GH	APHP	0.128633	2.09006	0.0183063	0.311208	302.953	297.314	229.542
APHP	GH	TACLP	0.141456	2.52326	0.00581366	0.0987785	312.123	298.275	224.347
GL	APHP	MADHP	0.010764	0.256279	0.398868	0.00617631	440.664	225.59	220.786
GL	APHP	MADLP	0.00866429	0.20504	0.41877	0.00523974	433.071	225.534	221.659
GL	APHP	OH	0.0246699	0.702053	0.241323	0.0499328	424.434	228.169	217.182
GL	APHP	OL	0.0171313	0.459874	0.322803	0.018886	436.05	226.023	218.409
TACHP	GL	APHP	0.115867	1.66277	0.0481788	0.285518	306.854	299.399	237.222
TACLP	GL	APHP	0.15634	2.71681	0.00329569	0.345296	312.539	303.918	221.737
MADHP	MADLP	APHP	0.0414615	0.826937	0.204136	0.0203747	763.581	94.657	87.1202
MADHP	OH	APHP	0.0430269	1.3483	0.0887818	0.0508463	462.432	227.97	209.162
MADHP	OL	APHP	0.0161291	0.516806	0.302646	0.0136415	614.85	158.952	153.906
TACHP	APHP	MADHP	0.0109518	0.225074	0.410961	0.00693324	401.755	248.858	243.466
TACLP	APHP	MADHP	0.0065704	0.122899	0.451093	0.00426025	385.96	253.067	249.763
