P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APLP	GH	APHP	0.00735446	0.17376	0.431027	0	296.318	97.4695	96.0463
GL	APLP	APHP	0.0451664	0.709464	0.239018	0	301.274	108.855	99.4465
APLP	APHP	MADHP	0.297266	4.63358	1.79698e-06	0.0835575	1129.93	179.654	97.3195
APLP	APHP	MADLP	0.296342	4.67565	1.46511e-06	0.0844756	1130.47	178.376	96.8231
APLP	APHP	OH	0.0245566	0.714613	0.237424	0.059509	891.141	149.839	142.656
APLP	APHP	OL	0.246474	4.67294	1.48458e-06	0.120833	1102.3	169.981	102.758
TACHP	APLP	APHP	0.0618758	1.13055	0.129121	0	290.971	112.785	99.6407
APLP	TACLP	APHP	0.0226729	0.444819	0.328225	0	297.745	95.6126	91.3731
GL	GH	APHP	0.0728864	1.30102	0.0966265	0	345.091	79.7192	68.8878
GH	APHP	MADHP	0.284797	4.50179	3.36919e-06	0.0778287	1123.53	171.827	95.6505
GH	APHP	MADLP	0.290804	4.70183	1.28918e-06	0.0802408	1124.58	171.061	93.985
APHP	GH	OH	0.0364926	0.887117	0.187508	0.0913522	880.759	148.489	138.033
GH	APHP	OL	0.212406	3.96049	3.73985e-05	0.10306	1094.07	160.332	104.154
TACHP	GH	APHP	0.0812752	1.48065	0.0693496	0	296.797	96.9	82.3328
GH	TACLP	APHP	0.0178886	0.347483	0.364114	0	302.356	80.1263	77.31
GL	APHP	MADHP	0.26169	4.04476	2.61889e-05	0.0760751	1120	179.13	104.823
GL	APHP	MADLP	0.285736	4.58501	2.2698e-06	0.0833035	1123.27	180.578	100.316
APHP	GL	OH	0.0434165	0.915661	0.179922	0.114886	876.755	158.011	144.861
GL	APHP	OL	0.189888	3.27694	0.000524687	0.0985743	1090.48	167.565	114.084
TACHP	GL	APHP	0.0190197	0.252264	0.400418	0	297.872	100.075	96.3395
GL	TACLP	APHP	0.0795074	1.03856	0.149505	0	305.311	92.6507	79.003
MADLP	MADHP	APHP	0.00887607	0.437731	0.330791	0.00225446	982.245	103.341	101.522
APHP	MADHP	OH	0.210358	5.62621	9.21064e-09	1.82024	182.057	599.372	391.032
MADHP	OL	APHP	0.0527761	1.394	0.0816592	0.0223219	765.796	179.11	161.152
TACHP	APHP	MADHP	0.270239	4.42103	4.91163e-06	0.0757019	1110.88	173.748	99.8191
TACLP	APHP	MADHP	0.265633	3.9219	4.39263e-05	0.0721119	1121.66	167.139	96.9801
APHP	MADLP	OH	0.206858	5.68227	6.64611e-09	1.78822	181.593	597.063	392.387
MADLP	OL	APHP	0.0579845	1.6396	0.0505439	0.0245188	765.256	180.417	160.641
TACHP	APHP	MADLP	0.275191	4.52634	3.00072e-06	0.0780606	1112.37	173.417	98.5689
TACLP	APHP	MADLP	0.275613	4.06845	2.36636e-05	0.075522	1123.46	167.122	94.904
APHP	OL	OH	0.148113	3.61787	0.000148521	1.21271	208.155	537.977	399.173
APHP	TACHP	OH	0.0163974	0.453886	0.324955	0.0416447	871.12	147.728	142.962
APHP	TACLP	OH	0.0412248	1.00401	0.157686	0.100906	879.847	145.854	134.305
TACHP	APHP	OL	0.206578	3.76868	8.20574e-05	0.10201	1081.43	162.256	106.697
TACLP	APHP	OL	0.195452	3.16684	0.000770516	0.0941967	1092.09	155.532	104.674
TACHP	TACLP	APHP	0.141466	2.88608	0.00195034	0	368.468	70.1321	52.7486
GL	GH	APLP	0.0508429	0.661355	0.254192	0.222872	147.666	81.1419	73.2901
APLP	GH	MADHP	0.0428798	0.873271	0.191258	0.00624949	1301.61	74.8848	68.7268
APLP	GH	MADLP	0.0317622	0.629074	0.26465	0.00463718	1302.16	72.7114	68.2346
APLP	GH	OH	0.11394	3.18914	0.000713479	0.146137	1017.34	86.2226	68.584
APLP	GH	OL	0.0769128	1.61743	0.0528922	0.0198533	1266.09	77.3246	66.2796
APLP	TACHP	GH	0.00490364	0.0591063	0.476434	0.0144204	84.3346	107.468	106.42
GH	TACLP	APLP	0.0363676	0.645175	0.259407	0.226395	107.023	86.9256	80.8249
APLP	GL	MADHP	0.0498675	0.759134	0.223886	0.00814648	1301.5	84.4997	76.4724
APLP	GL	MADLP	0.00818334	0.120012	0.452237	0.00133804	1304.35	79.5713	78.2795
APLP	GL	OH	0.118547	1.81639	0.0346552	0.168454	1016.5	95.9229	75.5905
APLP	GL	OL	0.0849283	1.25897	0.10402	0.0247	1265.99	87.7704	74.029
TACHP	APLP	GL	0.018382	0.21075	0.416541	0.0311555	97.4279	111.661	107.63
APLP	GL	TACLP	0.050778	0.528813	0.298467	0.0580814	84.4518	108.932	98.4043
MADLP	MADHP	APLP	0.00527756	0.267157	0.394674	0.000821695	1059.98	98.7407	97.704
APLP	MADHP	OH	0.201238	4.99335	2.96698e-07	1.78561	143.603	643.253	427.731
MADHP	OL	APLP	0.102905	2.01212	0.0221034	0.0262384	831.123	177.213	144.144
APLP	TACHP	MADHP	0.0566307	0.888324	0.187183	0.00853116	1280.82	78.4237	70.0174
APLP	TACLP	MADHP	0.0889756	1.75335	0.0397707	0.0123571	1301.32	74.5127	62.3365
APLP	MADLP	OH	0.198008	4.98184	3.14915e-07	1.75526	143.88	640.903	429.044
MADLP	OL	APLP	0.105555	2.16087	0.0153527	0.0270314	830.672	178.61	144.503
APLP	TACHP	MADLP	0.0456453	0.748161	0.227181	0.0069456	1281.93	76.8028	70.0975
APLP	TACLP	MADLP	0.069168	1.36488	0.0861459	0.0096702	1302.84	72.1533	62.8176
APLP	OL	OH	0.145472	3.14698	0.00082483	1.20951	177.716	574.761	428.775
APLP	TACHP	OH	0.0743312	1.34142	0.0898926	0.0990001	1001.08	86.3531	74.4038
APLP	TACLP	OH	0.12792	2.39486	0.00831329	0.155197	1018.71	82.5845	63.8523
APLP	TACHP	OL	0.0788296	1.50078	0.0667069	0.020965	1245.88	79.811	68.1475
APLP	TACLP	OL	0.119548	2.21852	0.0132596	0.0294167	1266.18	76.6296	60.2642
TACHP	TACLP	APLP	0.221993	3.54862	0.000193626	0.571034	173.779	77.5763	49.3906
GH	GL	MADHP	0.0148284	0.338009	0.367678	0.00190977	1355.34	63.9633	62.0941
GL	GH	MADLP	0.0261318	0.601697	0.273688	0.00330573	1358.5	62.5337	59.3487
GH	GL	OH	0.0203024	0.475941	0.317058	0.0261001	1062.63	67.6857	64.992
GH	GL	OL	0.0213586	0.502155	0.307779	0.00494647	1317.07	64.4688	61.7725
GL	GH	TACHP	0.0849825	1.02587	0.152477	0.125617	148.025	82.5499	69.6183
GL	GH	TACLP	0.0626581	0.681248	0.247857	0.055982	121.469	81.1436	71.5745
MADLP	MADHP	GH	0.014021	0.741747	0.22912	0.00208722	1053.37	98.2859	95.5679
GH	MADHP	OH	0.185329	4.40288	5.34118e-06	1.91738	139.321	632.813	434.93
MADHP	OL	GH	0.118371	2.34844	0.00942605	0.0292119	822.171	179.306	141.35
GH	TACHP	MADHP	0.0177822	0.255972	0.398986	0.00229704	1289.87	64.3413	62.093
GH	TACLP	MADHP	0.0513882	0.778885	0.218024	0.00614871	1308.47	61.5654	55.5472
GH	MADLP	OH	0.181953	4.37137	6.17346e-06	1.88188	138.274	630.82	436.6
MADLP	OL	GH	0.126608	2.65502	0.00396516	0.0312344	821.985	180.968	140.294
GH	TACHP	MADLP	0.0179264	0.269273	0.39386	0.00232005	1291.54	63.2727	61.0441
GH	TACLP	MADLP	0.0424674	0.633447	0.263221	0.00505839	1310.42	59.6369	54.778
GH	OL	OH	0.128782	2.66724	0.0038239	1.24362	176.487	562.487	434.139
TACHP	GH	OH	0.0405306	0.710522	0.23869	0.0518136	1005.2	73.0311	67.3417
GH	TACLP	OH	0.00853924	0.15852	0.437024	0.0105959	1020.8	64.5779	63.4844
GH	TACHP	OL	0.00491137	0.0819049	0.467361	0.00113463	1252.47	63.2744	62.656
GH	TACLP	OL	0.0454811	0.664298	0.25325	0.00976039	1270.8	61.1508	55.8304
TACHP	TACLP	GH	0.205258	3.37169	0.000373536	0.351519	149.942	73.8363	48.6873
MADLP	MADHP	GL	0.0385006	2.43189	0.00751008	0.00575874	1058.04	104.823	97.0509
GL	MADHP	OH	0.181791	4.29496	8.73622e-06	1.95018	142.825	634.447	439.257
MADHP	OL	GL	0.117679	2.42806	0.00758997	0.0288991	824.345	184.176	145.393
GL	TACHP	MADHP	0.00264886	0.0349636	0.486054	0.000388067	1284.33	71.7391	71.3601
GL	TACLP	MADHP	0.0312866	0.402867	0.343523	0.00424766	1305.72	68.3803	64.2313
GL	MADLP	OH	0.177663	4.22776	1.18016e-05	1.91357	139.048	634.779	443.253
MADLP	OL	GL	0.141248	2.99638	0.00136602	0.0344947	826.399	188.078	141.523
GL	TACHP	MADLP	0.0385446	0.517042	0.302563	0.00561875	1288.26	72.9315	67.518
GL	TACLP	MADLP	0.062139	0.76506	0.222118	0.00834879	1309.96	68.7472	60.7033
GL	OL	OH	0.125392	2.60452	0.00460017	1.25543	180.568	563.872	438.218
TACHP	GL	OH	0.0531715	0.79779	0.212496	0.076345	999.563	83.022	74.6389
TACLP	GL	OH	0.0111533	0.158076	0.437199	0.0155208	1017.59	72.5334	70.9332
TACHP	GL	OL	0.014407	0.230987	0.408663	0.00381501	1247.34	73.1516	71.0737
GL	TACLP	OL	0.0195791	0.24376	0.403708	0.00483655	1268.4	68.3246	65.7005
TACHP	TACLP	GL	0.228675	3.75733	8.58667e-05	0.220364	162.271	76.5966	48.085
MADLP	MADHP	OH	0.0152901	0.839681	0.200544	0	583.232	121.643	117.979
MADLP	MADHP	OL	0.00739921	0.360579	0.359207	0	400.044	125.784	123.936
MADLP	MADHP	TACHP	0.0136299	0.734919	0.231194	0.00207447	1054.63	101.801	99.0631
MADLP	MADHP	TACLP	0.0197467	1.00734	0.156885	0.00274529	1049.18	100.115	96.2378
OL	MADHP	OH	0.159556	5.24401	7.85639e-08	0	440.001	252.672	183.136
TACHP	MADHP	OH	0.191324	4.86432	5.74246e-07	1.85395	142.553	633.797	430.224
TACLP	MADHP	OH	0.185598	4.52162	3.06837e-06	1.90882	141.072	628.546	431.755
MADHP	OL	TACHP	0.111504	2.28765	0.0110789	0.0275914	823.302	181.056	144.73
MADHP	OL	TACLP	0.115517	2.41643	0.00783679	0.026449	817.442	179.897	142.639
TACHP	TACLP	MADHP	0.0429696	0.607813	0.271656	0.00386035	1368.76	45.7523	41.9824
OL	MADLP	OH	0.151351	6.17174	3.37709e-10	0	439.695	250.55	184.678
TACHP	MADLP	OH	0.187772	4.81847	7.23331e-07	1.82058	141.956	632.274	432.365
TACLP	MADLP	OH	0.181892	4.46262	4.04808e-06	1.87328	139.759	627.446	434.32
