P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0936084	3.73142	9.52018e-05	0.0719092	306.718	114.406	94.8204
APHP	APLP	GL	0.117368	3.14675	0.000825494	0.0557647	300.671	115.818	91.4868
APLP	APHP	MADHP	0.0796576	2.32403	0.010062	0.0294603	394.221	102.633	87.4885
APLP	APHP	MADLP	0.077634	2.32316	0.0100852	0.0307482	388.625	104.655	89.5759
APLP	APHP	OH	0.0885486	3.19548	0.000697992	0.0895066	396.526	103.598	86.7437
APLP	APHP	OL	0.079582	2.63281	0.00423406	0.0585636	391.063	102.76	87.6096
APHP	APLP	TACHP	0.113863	3.197	0.000694328	0.0725094	258.244	126.133	100.345
APHP	APLP	TACLP	0.122676	3.52592	0.000211004	0.0621564	252.655	127.523	99.6538
GH	GL	APHP	0.0265767	0.489053	0.312402	0.0181305	364.093	52.4106	49.6969
GH	APHP	MADHP	0.0950757	2.33592	0.00974763	0.058056	256.459	176.769	146.075
GH	APHP	MADLP	0.118349	2.66638	0.00383364	0.0749166	254.432	182.36	143.763
GH	APHP	OH	0.0913217	2.20419	0.0137555	0.144263	255.504	174.474	145.274
GH	APHP	OL	0.0921501	2.15379	0.0156285	0.108249	251.289	174.884	145.372
GH	APHP	TACHP	0.0208896	0.302527	0.381125	0.0220352	141.662	195.661	187.654
GH	APHP	TACLP	0.0635584	0.906577	0.182315	0.0512365	143.602	202.499	178.297
GL	APHP	MADHP	0.138249	3.12824	0.000879296	0.0807315	262.492	180.088	136.342
MADLP	GL	APHP	0.166477	2.81359	0.00244962	0.337134	133.218	262.007	187.221
GL	APHP	OH	0.131876	2.7957	0.00258938	0.193564	261.33	177.586	136.204
GL	APHP	OL	0.135485	2.79739	0.00257587	0.149022	257.539	178.42	135.842
GL	APHP	TACHP	0.00543305	0.0792427	0.46842	0.00566413	136.325	187.61	185.583
GL	APHP	TACLP	0.0466369	0.667248	0.252307	0.03712	137.73	193.913	176.632
MADHP	MADLP	APHP	0.0808463	1.87269	0.0305556	0.0333272	475.602	50.9209	43.3033
OH	MADHP	APHP	0.0058989	0.148207	0.44109	0.0058232	320.506	114.268	112.928
MADHP	OL	APHP	0.017251	0.397471	0.34551	0.0143715	357.653	96.8524	93.5674
TACHP	APHP	MADHP	0.0713425	1.46121	0.0719792	0.0394784	287.433	153.744	133.268
TACLP	APHP	MADHP	0.0631276	1.14822	0.125439	0.0346838	289.468	150.881	132.963
OH	MADLP	APHP	0.0389289	0.89978	0.184119	0.038922	320.088	119.533	110.575
OL	MADLP	APHP	0.0235379	0.508523	0.305543	0.0191729	360.513	94.2042	89.8715
TACHP	APHP	MADLP	0.0734914	1.487	0.0685068	0.0429291	282.527	156.455	135.033
TACLP	APHP	MADLP	0.0596432	1.10517	0.134542	0.0345948	282.811	151.842	134.749
OH	OL	APHP	0.0178328	0.675735	0.249605	0.0200962	289.287	131.993	127.368
TACHP	APHP	OH	0.0448495	1.03071	0.151338	0.0690151	286.411	151.382	138.386
TACLP	APHP	OH	0.0403439	0.862966	0.194078	0.0617015	288.766	148.839	137.295
TACHP	APHP	OL	0.0631504	1.32982	0.0917881	0.0698332	283.968	153.564	135.321
TACLP	APHP	OL	0.0524914	0.998345	0.159056	0.0578916	285.422	150.12	135.146
TACHP	TACLP	APHP	0.0566787	0.905728	0.18254	0.0510398	392.808	45.6553	40.7575
GH	GL	APLP	0.070217	1.03588	0.150129	0.0268278	344.196	56.8454	49.3861
GH	APLP	MADHP	0.0497248	1.0463	0.147711	0.0294113	278.555	164.135	148.585
GH	APLP	MADLP	0.0742127	1.41448	0.0786108	0.0456575	276.942	170.205	146.688
GH	APLP	OH	0.040036	0.832186	0.202652	0.0609926	277.821	160.351	148.006
GH	APLP	OL	0.0463584	0.888282	0.187195	0.0526788	273.22	162.079	147.718
APLP	TACHP	GH	0.0823338	1.56893	0.0583317	0.104513	207.361	173.566	147.159
APLP	TACLP	GH	0.048582	0.934413	0.175046	0.0597986	215.124	163.052	147.943
GL	APLP	MADHP	0.0944544	1.95864	0.0250778	0.0527827	287.583	165.704	137.103
GL	APLP	MADLP	0.126307	2.3783	0.00869626	0.0733314	287.743	173.547	134.623
GL	APLP	OH	0.0818994	1.52901	0.0631308	0.114726	286.93	162.001	137.474
GL	APLP	OL	0.0912899	1.63702	0.0508127	0.0959978	282.538	163.939	136.511
GL	APLP	TACHP	0.0759535	0.958768	0.168838	0.0779206	144.272	197.014	169.199
APLP	TACLP	GL	0.0479873	0.795842	0.213062	0.0353688	204.259	159.109	144.538
MADHP	MADLP	APLP	0.0820779	1.81477	0.0347793	0.0195444	490.407	50.6473	42.9639
OH	MADHP	APLP	0.0137164	0.300682	0.381829	0.00771728	334.091	112.709	109.659
MADHP	OL	APLP	0.0174632	0.345661	0.364799	0.00834242	371.492	95.5409	92.2613
TACHP	APLP	MADHP	0.0195027	0.314884	0.376425	0.0102793	313.974	139.353	134.021
TACLP	APLP	MADHP	0.0103734	0.138416	0.444956	0.00536907	316.684	135.083	132.31
OH	MADLP	APLP	0.0474889	0.95004	0.171046	0.0271577	334.011	118.377	107.644
OL	MADLP	APLP	0.0243481	0.463061	0.32166	0.0112945	374.024	92.6356	88.2318
