P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.120606	3.46737	0.000262786	0.133477	377.743	354.4	278.115
GL	APLP	APHP	0.113318	1.74339	0.0406324	10.2485	366.913	344.652	274.492
APLP	APHP	MADHP	0.198531	5.90519	1.76125e-09	0.0879326	667.131	330.855	221.246
APLP	APHP	MADLP	0.210199	6.433	6.25557e-11	0.0915869	668.947	338.397	220.845
APLP	APHP	OH	0.177597	6.45951	5.25199e-11	0.12958	680.837	325.641	227.419
APLP	APHP	OL	0.163418	5.68381	6.58638e-09	0.12348	693.415	314.884	226.424
APHP	APLP	TACHP	0.157935	4.33472	7.29713e-06	0.176136	329.008	318.976	231.964
APHP	APLP	TACLP	0.128911	2.59185	0.00477307	0.094855	377.635	305.548	235.767
GH	GL	APHP	0.0781805	1.4956	0.0673795	0.807235	702.548	203.195	173.727
APHP	GH	MADHP	0.323941	4.42914	4.73054e-06	0.204867	479.819	476.206	243.171
MADLP	GH	APHP	0.328749	7.60705	1.40213e-14	0.863213	495.901	466.674	235.752
OH	GH	APHP	0.358305	8.12614	2.21611e-16	0.875039	494.967	484.418	228.85
APHP	GH	OL	0.350733	5.01153	2.69996e-07	0.391099	506.076	472.611	227.174
TACHP	APHP	GH	0.0562848	0.683295	0.24721	0.0603922	346.46	343.876	307.229
GH	APHP	TACLP	0.0257013	0.304285	0.380455	0.0221639	375.184	332.944	316.258
APHP	GL	MADHP	0.297398	3.61539	0.000149947	0.187011	517.396	464.003	251.279
APHP	GL	MADLP	0.290417	3.50772	0.000225986	0.180282	517.15	466.934	256.761
APHP	GL	OH	0.305921	4.2348	1.14376e-05	0.331324	532.865	466.295	247.829
APHP	GL	OL	0.304228	4.19938	1.33823e-05	0.33626	549.676	452.328	241.305
TACHP	GL	APHP	0.0433342	0.60339	0.273125	0.882586	332.414	323.64	296.756
TACLP	GL	APHP	0.115558	1.7011	0.0444624	0.942355	350.763	346.124	274.415
MADHP	MADLP	APHP	0.0231232	0.91008	0.18139	0.021053	1155.75	126.69	120.964
OH	MADHP	APHP	0.0491599	1.34769	0.0888793	0.0647781	900.361	201.887	182.967
OL	MADHP	APHP	0.10054	1.786	0.0370497	0.133794	891.139	231.264	189.01
TACHP	APHP	MADHP	0.260162	4.0647	2.40476e-05	0.112935	589.914	350.682	205.884
TACLP	APHP	MADHP	0.224314	3.00669	0.00132054	0.104697	557.441	363.033	230.006
OH	MADLP	APHP	0.0702541	2.24068	0.0125235	0.0843853	937.39	187.728	163.083
OL	MADLP	APHP	0.120835	2.37422	0.00879302	0.151927	913.886	222.529	174.548
TACHP	APHP	MADLP	0.294528	4.32487	7.631e-06	0.124514	597.824	364.318	198.541
TACLP	APHP	MADLP	0.261421	3.2998	0.000483767	0.118414	566.474	377.793	221.203
OL	OH	APHP	0.050313	1.51387	0.0650291	0.0738878	837.178	243.564	220.23
TACHP	APHP	OH	0.261735	4.18197	1.44498e-05	0.180442	609.349	351.197	205.492
TACLP	APHP	OH	0.22824	3.20537	0.000674439	0.168963	575.836	362.509	227.781
TACHP	APHP	OL	0.245705	3.90723	4.66805e-05	0.175376	620.398	338.912	205.217
TACLP	APHP	OL	0.217274	3.03796	0.00119095	0.166335	588.615	351.952	226.311
TACLP	TACHP	APHP	0.182322	3.52559	0.000211271	0.589054	658.755	145.337	100.513
GH	GL	APLP	0.11892	1.57461	0.0576737	0.314225	621.475	214.543	168.939
APLP	GH	MADHP	0.527084	9.5069	0	0.274883	576.257	496.359	153.715
APLP	GH	MADLP	0.569724	9.702	0	0.294273	567.385	520.327	142.627
APLP	GH	OH	0.551718	9.9131	0	0.480657	578.091	512.355	148.016
APLP	GH	OL	0.522574	9.0106	1.0842e-19	0.466085	596.172	486.422	152.525
TACHP	APLP	GH	0.190674	2.54458	0.00547042	0.185653	365.918	352.607	239.675
GH	APLP	TACLP	0.144664	1.66554	0.047902	0.114858	390.831	342.087	255.62
APLP	GL	MADHP	0.511679	8.33344	3.92481e-17	0.258588	621.955	476.142	153.809
APLP	GL	MADLP	0.51451	8.48233	1.10589e-17	0.255337	624.983	482.346	154.62
APLP	GL	OH	0.499143	8.45747	1.36609e-17	0.417793	634.565	475.575	158.887
APLP	GL	OL	0.485608	7.70319	6.63548e-15	0.418046	647.868	458.1	158.617
GL	APLP	TACHP	0.0910673	1.19037	0.11695	0.112544	339.924	307.631	256.278
APLP	GL	TACLP	0.0118416	0.143767	0.442842	0.00985731	368.299	280.517	273.952
MADLP	MADHP	APLP	0.00948428	0.355113	0.361253	0.00389932	1262.35	117.959	115.743
OH	MADHP	APLP	0.0210235	0.558805	0.288147	0.0131362	990.989	182.906	175.374
OL	MADHP	APLP	0.0538444	0.827174	0.204069	0.0359257	976.019	206.535	185.43
TACHP	APLP	MADHP	0.075736	1.0159	0.154838	0.0274452	685.757	249.904	214.715
TACLP	APLP	MADHP	0.0455678	0.578887	0.281333	0.0184306	642.463	268.665	245.247
OH	MADLP	APLP	0.0163103	0.440697	0.329716	0.00927065	1032.83	165.616	160.3
OL	MADLP	APLP	0.0511325	0.812473	0.20826	0.0322029	1003.06	194.147	175.258
TACHP	APLP	MADLP	0.102988	1.27987	0.100296	0.0362218	696.316	258.246	210.02
TACLP	APLP	MADLP	0.0755106	0.893651	0.185754	0.0295207	654.029	278.014	238.976
OL	OH	APLP	0.031293	0.808002	0.209545	0.023104	915.488	223.652	210.08
TACHP	APLP	OH	0.101039	1.41769	0.0781399	0.0588037	702.105	258.719	211.235
TACLP	APLP	OH	0.0706845	0.93788	0.174153	0.0457821	657.814	276.483	239.977
TACHP	APLP	OL	0.0983639	1.41169	0.0790203	0.0593377	709.515	252.556	207.321
TACLP	APLP	OL	0.0734886	0.980447	0.163433	0.0492242	666.469	271.566	234.384
TACLP	TACHP	APLP	0.245891	3.73615	9.34281e-05	0.320164	583.616	157.212	95.1566
GL	GH	MADHP	0.0583543	0.765151	0.222091	0.0219671	716.627	184.193	163.881
GL	GH	MADLP	0.139397	1.67407	0.047058	0.0522634	703.838	204.244	154.268
GL	GH	OH	0.130247	1.77536	0.0379189	0.107955	725.024	206.752	159.101
GL	GH	OL	0.0964788	1.38282	0.0833596	0.0824763	757.845	195.559	161.145
GH	GL	TACHP	0.197444	2.11286	0.0173065	0.140525	717.672	227.094	152.204
GH	GL	TACLP	0.246145	2.68993	0.00357338	0.12358	730.21	235.496	142.463
MADHP	MADLP	GH	0.131888	3.09835	0.000973018	0.0571877	909.828	140.92	108.08
MADHP	OH	GH	0.0347891	0.612513	0.270099	0.024705	661.901	210.624	196.462
OL	MADHP	GH	0.0669444	0.872014	0.1916	0.0493837	664.727	237.887	208.035
MADHP	GH	TACHP	0.492283	7.24514	2.15995e-13	0.392027	555.636	522.602	177.804
MADHP	GH	TACLP	0.441173	4.88627	5.13809e-07	0.292528	562.873	507.56	196.811
