P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.137596	4.24381	1.0988e-05	0.812411	353.573	353.788	268.204
APHP	APLP	GL	0.536684	8.91006	2.71051e-19	0.379375	306.173	438.043	132.072
APLP	APHP	MADHP	0.665113	7.78462	3.49623e-15	0.356071	553.808	520.976	104.779
APLP	APHP	MADLP	0.660832	8.05933	3.83537e-16	0.365983	558.985	521.848	106.569
APLP	APHP	OH	0.664103	7.91492	1.23707e-15	0.385577	555.447	516.277	104.21
APLP	APHP	OL	0.61289	7.78939	3.36666e-15	0.402347	547.393	488.917	117.345
APHP	APLP	TACHP	0.0172915	0.369127	0.356017	0.0405346	423.148	315.509	304.783
APHP	APLP	TACLP	0.58883	8.46979	1.23057e-17	0.452666	265.047	507.015	131.209
GL	GH	APHP	0.149294	2.4321	0.00750583	0.41535	359.596	341.54	252.808
GH	APHP	MADHP	0.108983	1.47165	0.0705573	0.0929915	340.254	392.79	315.589
GH	APHP	MADLP	0.110756	1.51758	0.0645603	0.0984605	345.93	394.161	315.556
GH	APHP	OH	0.100609	1.36539	0.0860656	0.097366	340.815	387.014	316.258
GH	APHP	OL	0.0810648	1.18248	0.118507	0.091578	343.747	370.641	315.055
APHP	GH	TACHP	0.102941	3.15522	0.000801883	0.265024	336.579	373.257	303.582
APHP	GH	TACLP	0.159967	2.43216	0.00750456	0.126576	324.493	381.151	276.025
GL	APHP	MADHP	0.687251	21.1199	0	0.394856	461.743	603.012	111.774
GL	APHP	MADLP	0.681205	21.838	0	0.40489	466.95	603.913	114.516
GL	APHP	OH	0.681199	20.5157	0	0.42412	461.611	596.542	113.121
GL	APHP	OL	0.648121	20.9331	0	0.448355	454.245	569.87	121.669
GL	APHP	TACHP	0.135407	3.01546	0.00128293	0.256279	321.044	376.781	286.912
APHP	GL	TACLP	0.370116	3.93443	4.16975e-05	0.298432	170.613	458.696	210.876
MADLP	MADHP	APHP	0.0319148	1.81986	0.0343902	0.0623366	776.753	69.6052	65.2998
OH	MADHP	APHP	0.0442207	1.85392	0.0318755	0.0864191	740.198	74.8363	68.498
OL	MADHP	APHP	0.12067	3.51038	0.000223734	0.281056	655.015	119.076	93.4329
TACHP	APHP	MADHP	0.0608225	0.635078	0.262689	0.0566443	308.628	394.161	348.963
TACLP	APHP	MADHP	0.735653	25.738	0	0.406666	507.457	608.462	92.6711
OH	MADLP	APHP	0.0134311	0.708243	0.239397	0.0277169	741.485	76.6941	74.6612
OL	MADLP	APHP	0.0996015	2.94755	0.00160151	0.233867	666.463	117.786	96.4479
TACHP	APHP	MADLP	0.0592623	0.624663	0.266096	0.0579017	313.942	395.169	350.952
TACLP	APHP	MADLP	0.728429	25.806	0	0.416711	513.001	609.701	95.7964
OL	OH	APHP	0.0952312	2.80682	0.00250168	0.216268	667.529	111.012	91.7068
TACHP	APHP	OH	0.0391921	0.40158	0.343996	0.0425385	307.009	386.203	357.073
TACLP	APHP	OH	0.722667	23.7077	0	0.435113	507.287	601.954	96.9088
TACHP	APHP	OL	0.00661722	0.0703922	0.471941	0.00870321	308.182	368.071	363.232
TACLP	APHP	OL	0.673896	23.0151	0	0.455535	497.107	572.469	111.527
TACLP	TACHP	APHP	0.0281119	0.56115	0.287347	0.0902336	519.316	282.935	267.462
GH	GL	APLP	0.210519	2.16951	0.0150219	0.29418	179.336	378.519	246.864
APLP	GH	MADHP	0.556861	5.06201	2.07424e-07	0.290023	584.128	473.879	134.883
APLP	GH	MADLP	0.551798	5.08775	1.81166e-07	0.296708	589.363	473.405	136.732
APLP	GH	OH	0.562588	5.19099	1.04592e-07	0.319371	584.137	473.997	132.685
APLP	GH	OL	0.52459	5.0879	1.81027e-07	0.342157	573.444	459.168	143.182
APLP	GH	TACHP	0.0956807	1.69641	0.0449037	0.23717	386.43	337.525	278.576
GH	APLP	TACLP	0.446653	5.26018	7.1956e-08	0.373235	196.595	438.349	167.669
GL	APLP	MADHP	0.207473	3.148	0.000821965	0.0603173	799.263	218.363	143.323
GL	APLP	MADLP	0.202695	3.16153	0.000784712	0.0613206	804.18	219.895	145.775
GL	APLP	OH	0.198314	3.04599	0.00115959	0.0626014	798.686	215.579	144.225
GL	APLP	OL	0.213115	3.44325	0.000287386	0.0766554	780.015	218.098	141.468
GL	APLP	TACHP	0.255751	4.54254	2.77899e-06	0.287891	486.471	246.962	146.368
GL	APLP	TACLP	0.28741	4.35835	6.55245e-06	0.219753	176.549	286.648	158.661
MADLP	MADHP	APLP	0.0276876	1.43732	0.0753137	0.00376201	1186.19	62.847	59.4606
OH	MADHP	APLP	0.0173347	0.731928	0.232106	0.00245661	1146.34	64.7825	62.5748
MADHP	OL	APLP	0.106613	2.49472	0.00630276	0.0211711	1031.67	98.5124	79.5306
APLP	TACHP	MADHP	0.52286	3.73722	9.3032e-05	0.317402	510.669	540.278	169.279
TACLP	APLP	MADHP	0.311757	4.67143	1.49552e-06	0.0785228	900.525	209.527	109.933
MADLP	OH	APLP	0.00882125	0.415187	0.339003	0.0013109	1146.29	67.3999	66.2212
MADLP	OL	APLP	0.123531	3.42577	0.000306524	0.0248492	1043.31	101.721	79.3526
APLP	TACHP	MADLP	0.51987	3.75892	8.53227e-05	0.327014	516.125	542.41	171.348
