P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
GH	APLP	APHP	0.137298	2.42144	0.00772962	0.710236	353.788	353.573	268.204
GL	APLP	APHP	0.39727	8.58994	4.33681e-18	0.814954	438.043	306.173	132.072
APLP	APHP	MADHP	0.665113	7.78462	3.49623e-15	0.356071	553.808	520.976	104.779
APLP	APHP	MADLP	0.660832	8.05933	3.83537e-16	0.365983	558.985	521.848	106.569
APLP	APHP	OH	0.664103	7.91492	1.23707e-15	0.385577	555.447	516.277	104.21
APLP	APHP	OL	0.61289	7.78939	3.36666e-15	0.402347	547.393	488.917	117.345
APHP	APLP	TACHP	0.0172915	0.369127	0.356017	0.0405346	423.148	315.509	304.783
TACLP	APLP	APHP	0.337755	7.82364	2.56582e-15	0.780514	507.015	265.047	131.209
GL	GH	APHP	0.149294	2.4321	0.00750583	0.41535	359.596	341.54	252.808
MADHP	APHP	GH	0.0376077	0.889946	0.186747	0.196767	392.79	340.254	315.589
MADLP	APHP	GH	0.0459184	1.18555	0.1179	0.233325	394.161	345.93	315.556
OH	APHP	GH	0.0373731	0.912003	0.180884	0.195496	387.014	340.815	316.258
OL	APHP	GH	0.0435526	1.13819	0.127521	0.220801	370.641	343.747	315.055
TACHP	GH	APHP	0.0515435	1.32732	0.092202	0.216492	373.257	336.579	303.582
TACLP	GH	APHP	0.0807116	1.54242	0.0614861	0.282661	381.151	324.493	276.025
MADHP	APHP	GL	0.610215	7.73035	5.36273e-15	0.302707	603.012	461.743	111.774
MADLP	APHP	GL	0.606113	8.30698	4.90601e-17	0.3042	603.913	466.95	114.516
OH	APHP	GL	0.606353	7.54628	2.23932e-14	0.301818	596.542	461.611	113.121
OL	APHP	GL	0.577474	7.74399	4.81722e-15	0.292118	569.87	454.245	121.669
TACHP	APHP	GL	0.0561426	0.915003	0.180095	0.0406115	376.781	321.044	286.912
GL	TACLP	APHP	0.105544	2.64454	0.00409011	0.187594	458.696	210.876	170.613
MADLP	MADHP	APHP	0.0319148	1.81986	0.0343902	0.0623366	776.753	69.6052	65.2998
OH	MADHP	APHP	0.0442207	1.85392	0.0318755	0.0864191	740.198	74.8363	68.498
OL	MADHP	APHP	0.12067	3.51038	0.000223734	0.281056	655.015	119.076	93.4329
APHP	MADHP	TACHP	0.0613363	1.11321	0.13281	0.152865	394.161	348.963	308.628
MADHP	APHP	TACLP	0.691162	14.5986	0	0.333008	608.462	507.457	92.6711
OH	MADLP	APHP	0.0134311	0.708243	0.239397	0.0277169	741.485	76.6941	74.6612
OL	MADLP	APHP	0.0996015	2.94755	0.00160151	0.233867	666.463	117.786	96.4479
APHP	MADLP	TACHP	0.0556638	1.02715	0.152175	0.140669	395.169	350.952	313.942
MADLP	APHP	TACLP	0.685293	14.8491	0	0.3343	609.701	513.001	95.7964
OL	OH	APHP	0.0952312	2.80682	0.00250168	0.216268	667.529	111.012	91.7068
APHP	OH	TACHP	0.0753883	1.37767	0.0841531	0.190095	386.203	357.073	307.009
OH	APHP	TACLP	0.679214	15.2271	0	0.330687	601.954	507.287	96.9088
APHP	OL	TACHP	0.0819914	1.62628	0.0519452	0.209449	368.071	363.232	308.182
OL	APHP	TACLP	0.633517	14.0879	0	0.317112	572.469	497.107	111.527
TACLP	TACHP	APHP	0.0281119	0.56115	0.287347	0.0902336	519.316	282.935	267.462
GL	APLP	GH	0.158442	3.4109	0.000323742	0.749333	378.519	246.864	179.336
APLP	GH	MADHP	0.556861	5.06201	2.07424e-07	0.290023	584.128	473.879	134.883
APLP	GH	MADLP	0.551798	5.08775	1.81166e-07	0.296708	589.363	473.405	136.732
APLP	GH	OH	0.562588	5.19099	1.04592e-07	0.319371	584.137	473.997	132.685
APLP	GH	OL	0.52459	5.0879	1.81027e-07	0.342157	573.444	459.168	143.182
APLP	GH	TACHP	0.0956807	1.69641	0.0449037	0.23717	386.43	337.525	278.576
TACLP	APLP	GH	0.0794099	1.42299	0.0773692	0.56023	438.349	196.595	167.669
GL	APLP	MADHP	0.207473	3.148	0.000821965	0.0603173	799.263	218.363	143.323
GL	APLP	MADLP	0.202695	3.16153	0.000784712	0.0613206	804.18	219.895	145.775
GL	APLP	OH	0.198314	3.04599	0.00115959	0.0626014	798.686	215.579	144.225
GL	APLP	OL	0.213115	3.44325	0.000287386	0.0766554	780.015	218.098	141.468
GL	APLP	TACHP	0.255751	4.54254	2.77899e-06	0.287891	486.471	246.962	146.368
TACLP	APLP	GL	0.0533619	0.896344	0.185035	0.0344423	286.648	176.549	158.661
MADLP	MADHP	APLP	0.0276876	1.43732	0.0753137	0.00376201	1186.19	62.847	59.4606
OH	MADHP	APLP	0.0173347	0.731928	0.232106	0.00245661	1146.34	64.7825	62.5748
MADHP	OL	APLP	0.106613	2.49472	0.00630276	0.0211711	1031.67	98.5124	79.5306
MADHP	TACHP	APLP	0.502083	4.2252	1.19364e-05	0.380766	540.278	510.669	169.279
TACLP	APLP	MADHP	0.311757	4.67143	1.49552e-06	0.0785228	900.525	209.527	109.933
MADLP	OH	APLP	0.00882125	0.415187	0.339003	0.0013109	1146.29	67.3999	66.2212
MADLP	OL	APLP	0.123531	3.42577	0.000306524	0.0248492	1043.31	101.721	79.3526
MADLP	TACHP	APLP	0.501513	4.41507	5.04892e-06	0.383444	542.41	516.125	171.348
TACLP	APLP	MADLP	0.303207	4.61915	1.92654e-06	0.0799731	906.335	211.951	113.325
OH	OL	APLP	0.123486	3.24432	0.000588658	0.0235786	1043.79	96.3918	75.2023
OH	TACHP	APLP	0.508844	4.34918	6.83239e-06	0.382338	548.763	509.425	165.827
TACLP	APLP	OH	0.289203	4.18212	1.44403e-05	0.0801042	900.445	207.239	114.26
OL	TACHP	APLP	0.478355	4.30219	8.45591e-06	0.367332	542.526	498.201	175.793
TACLP	APLP	OL	0.275787	4.25199	1.05941e-05	0.0883217	878.729	206.713	117.342
APLP	TACLP	TACHP	0.512344	14.8199	0	0.908078	456.998	333.047	107.391
GL	GH	MADHP	0.667214	16.7202	0	0.332802	560.011	517.291	103.254
GL	GH	MADLP	0.660045	16.6863	0	0.339893	565.011	516.581	105.789
GL	GH	OH	0.666257	16.5286	0	0.362045	558.635	516.023	103.357
GL	GH	OL	0.640414	17.1012	0	0.392751	549.588	502.84	110.225
TACHP	GH	GL	0.233046	6.54942	2.88808e-11	0.167671	391.428	372.805	231.884
GL	TACLP	GH	0.0901331	1.59971	0.0548317	0.428351	376.133	233.439	194.837
MADLP	MADHP	GH	0.0472238	2.2722	0.0115371	0.0438593	847.657	63.3074	57.5978
MADHP	OH	GH	0.000826931	0.0313239	0.487506	0.000860538	807.732	65.276	65.1681
OL	MADHP	GH	0.0209621	0.885652	0.187902	0.0309954	711.227	98.0867	94.0589
GH	TACHP	MADHP	0.0475717	0.643376	0.25999	0.0385484	381.706	352.366	320.363
TACLP	GH	MADHP	0.710566	21.8435	0	0.345798	609.237	527.915	89.3249
MADLP	OH	GH	0.0422515	2.26653	0.0117095	0.0443472	809.331	71.7522	65.9348
