P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0605889	1.35638	0.0874888	0.210158	270.369	233.449	206.776
APHP	APLP	GL	0.209313	3.10827	0.000940934	0.0999629	501.781	209.013	136.659
APLP	APHP	MADHP	0.181596	3.17169	0.000757785	0.0859574	528.924	244.246	169.171
APLP	APHP	MADLP	0.185622	3.3169	0.000455115	0.0910051	538.693	243.554	167.292
APLP	APHP	OH	0.22019	3.70875	0.000104142	0.178601	524.369	253.433	161.966
APLP	APHP	OL	0.231025	3.89696	4.87047e-05	0.153442	515.309	262.301	163.849
APLP	APHP	TACHP	0.107472	2.77968	0.00272065	0.140237	409.764	214.832	173.136
TACLP	APLP	APHP	0.145697	1.99483	0.0230305	1.2265	161.103	384.776	286.913
GL	APHP	GH	0.13891	1.66109	0.0483474	0.457717	123.345	424.874	321.232
APHP	GH	MADHP	0.0776325	1.74637	0.0403735	0.0435032	427.311	240.94	206.225
APHP	GH	MADLP	0.0681383	1.5487	0.0607272	0.0397869	438.705	237.453	207.158
APHP	GH	OH	0.045707	0.959605	0.168627	0.0496282	425.14	238.66	217.797
APHP	GH	OL	0.0240662	0.508004	0.305725	0.0206689	417.322	239.147	227.906
APHP	GH	TACHP	0.00475713	0.111234	0.455715	0.00808748	348.832	219.571	217.492
TACLP	GH	APHP	0.0585462	0.73262	0.231895	0.429501	226.38	309.811	275.541
APHP	GL	MADHP	0.00927936	0.0674711	0.473103	0.00719485	226.046	312.231	306.489
APHP	GL	MADLP	0.0179844	0.132599	0.447255	0.0144906	231.255	312.271	301.237
GL	APHP	OH	0.0137504	0.100755	0.459872	0.0202995	225.787	319.972	311.292
GL	APHP	OL	0.0466839	0.349826	0.363235	0.0518897	221.077	333.19	303.468
APHP	TACHP	GL	0.133358	1.60735	0.0539887	0.0841152	368.017	258.712	197.829
TACLP	APHP	GL	0.157838	1.41083	0.0791477	0.0851419	514.293	247.035	179.683
MADLP	MADHP	APHP	0.0899462	2.43923	0.00735922	0.0381468	815.508	63.3838	52.9225
MADHP	OH	APHP	0.0523488	0.887969	0.187279	0.0522222	585.136	138.127	124.385
MADHP	OL	APHP	0.132	1.90252	0.0285513	0.12035	647.325	135.796	104.126
TACHP	APHP	MADHP	0.113106	1.64272	0.0502202	0.0666602	370.225	280.48	223.479
APHP	TACLP	MADHP	0.0946702	0.767902	0.221273	0.0570515	404.496	263.207	217.681
MADLP	OH	APHP	0.0899002	1.6793	0.0465467	0.0882572	587.438	146.715	122.512
MADLP	OL	APHP	0.175459	2.72876	0.00317867	0.15363	660.544	141.125	98.9939
TACHP	APHP	MADLP	0.102259	1.50925	0.0656176	0.062896	376.018	275.812	224.636
APHP	TACLP	MADLP	0.108131	0.892714	0.186005	0.0678885	410.458	264.874	213.182
OH	OL	APHP	0.0677678	2.99257	0.00138318	0.0720198	576.186	141.236	123.308
TACHP	APHP	OH	0.0585726	0.942452	0.172981	0.0664657	345.957	269.954	240.08
OH	APHP	TACLP	0.107339	0.877546	0.190095	0.1041	191.831	364.904	294.161
TACHP	APHP	OL	0.0727169	1.18962	0.117098	0.0650409	337.437	279.362	241.487
OL	APHP	TACLP	0.0763893	0.593673	0.276365	0.0757578	196.47	351.616	301.709
TACHP	TACLP	APHP	0.317527	5.19195	1.04049e-07	0.549161	439.901	201.388	104.318
GL	APLP	GH	0.195712	2.36056	0.00912364	0.575513	142.234	398.081	267.767
APLP	GH	MADHP	0.263573	3.75677	8.60619e-05	0.125704	476.21	263.166	153.377
APLP	GH	MADLP	0.257097	3.74211	9.12418e-05	0.127157	488.434	260.509	153.953
APLP	GH	OH	0.264721	3.79144	7.4888e-05	0.219339	481.484	268.332	156.002
APLP	GH	OL	0.253071	3.56497	0.000181946	0.170961	476.415	271.567	161.876
APLP	GH	TACHP	0.110032	2.32094	0.010145	0.147359	376.739	220.806	177.031
APLP	GH	TACLP	0.16913	2.10924	0.0174621	0.104435	375.025	264.922	188.273
APLP	MADHP	GL	0.0229084	0.154734	0.438516	0.0212305	227.97	308.786	294.956
APLP	MADLP	GL	0.0142146	0.0961271	0.46171	0.0132959	221.713	309.009	300.347
APLP	OH	GL	0.0217018	0.151952	0.439612	0.0201879	226.795	309.581	296.43
